Event,Round,White,Black,Result,WhiteElo,WhiteTitle,WhiteFideId,BlackElo,BlackTitle,BlackFideId,Variant,ECO,Opening,Move Number,Move,Color,Evaluation,Time
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,23,Rxc8,White,0.0,0:20:41
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,23,Rxc8,Black,0.0,0:46:37
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,24,Rc1,White,-1.15,0:20:56
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,24,Rxc1,Black,-1.28,0:46:40
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,25,Kxc1,White,-1.16,0:20:26
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,25,Ke7,Black,-1.17,0:45:59
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,26,Kb2,White,-1.26,0:19:30
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,26,g5,Black,-1.16,0:44:07
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,27,Kc3,White,-0.92,0:19:22
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,27,Bb5,Black,-0.94,0:43:51
